id,name,type
hori,ASK Horitschon,Verein
rwer,Rot Weiss Erfurt,Verein
reim,Stade Reims,Verein
hors,AC Horsens,Verein
nied,SuS Niederschelden,Verein
hro,Hansa Rostock,Verein
mont,Montpellier HSC,Verein
beif,Benlose IF,Verein
zapr,Inter Zapresic,Verein
rwie,Rapid Wien,Verein
ange,Angelholm,Verein
graz,Sturm Graz,Verein
auer,SV Auersmacher,Verein
atro,Atromitos Athen,Verein
suco,Supreme Court FC,Verein
obk,Odense BK,Verein
dubn,FK Dubnica,Verein
feye,Feyenoord Rotterdam,Verein
eve,FC Everton,Verein
part,Partizan Belgrad,Verein
duis,MSV Duisburg,Verein
ostr,Banik Ostrau,Verein
brab,Brabrand IF,Verein
cott,Energie Cottbus,Verein
tot,Tottenham Hotspurs,Verein
der,Derby County,Verein
slpr,Slavia Prag,Verein
sang,Kyoto Sanga,Verein
lipp,SV Lippstadt,Verein
alk,AZ Alkmaar,Verein
stpo,AKA St Poelten,Verein
nag,Nagoya Crampus,Verein
zwo,PEC Zwolle,Verein
mala,FC Malaga ,Verein
muns,Preussen Muenster,Verein
vik,Viking FK,Verein
habi,VfB Habinghorst,Verein
hern,Westfalia Herne,Verein
olpi,Olympiakos Piraus,Verein
kirc,VfL Kirchheim,Verein
anne,Patroge Saint Anne,Verein
mli,AD Municipal Liberia,Verein
lust,Austria Lustenau,Verein
cuk,FK Cukaricki,Verein
zaw,Zawisza Bydgoszcz,Verein
yok,Yokkaichi Highschool,Verein
paok,PAOK Saloniki,Verein
shak,Shaktar Donezk,Verein
ura,Urawa Reds,Verein
ful,FC Fulham,Verein
ybb,Young Boys Bern,Verein
nkd,NK Dubrava,Verein
asco,Angers SCO,Verein
goz,Gozzano,Verein
naci,Nacional,Verein
fcn,1 FC Nuernberg,Verein
